,Akun,Post,Tag,Likes,Comments
73,anesco19_,"pergi ke sekolah ketika pagi
sambil berlari bergembira ria
saya yohanes maba UNJ prodi Biologi
SAYA SIAP BERKARYA MENUJU INDONESIA DAN ASIA
.
.
.
Halo, saya YOHANES EKA CORDIAS BUULOLO dengan bangga menjadi bagian FMIPA di UNJ tahun 2019. Saya siap mengikuti rangkaian PKKMB UNJ 2019!!! #PKKMB2019
 #UNJ 
#GenerasiBerkarya2019
 #LipatanKarya #MenujuIndonesiadanAsia #Pomnas2019 
#mabaUNJ2019","['pkkmb2019', 'unj', 'generasiberkarya2019', 'lipatankarya', 'menujuindonesiadanasia', 'pomnas2019', 'mabaunj2019']",21,[]
74,anesco19_,,[],35,[]
75,anesco19_,"Happy sunday gaess...
#fanskorea #txtbighit #btsidol 
@eureka_hulu","['fanskorea', 'txtbighit', 'btsidol']",29,['Afa afaan ini']
76,anesco19_,"Terimakasih buat kebersamannya selama ini...
.
.
.
#happyfirewall",['happyfirewall'],35,['Happy Graduation little brother. Good luck ahead.']
77,anesco19_,Hola...,[],36,['Mermeid']
78,anesco19_,,[],33,[]
79,anesco19_,@elisabet070401  @marselinayohanna,[],35,[]
80,anesco19_,Bisquit gaess,[],36,[]
81,anesco19_,Ini akan menjadi kenangan saat kita nanti berpisah,[],39,[]
82,anesco19_,Guru terhebat...,[],41,['Salam untuk ibu kasek']
83,anesco19_,Caption ,[],26,['Yohanes WWW. PERFECTLIKER .COM']
84,anesco19_,"Edelweis squad
@nickyyolen @mardalena_sianturi",[],40,[]
85,anesco19_,Suatu hari kita akan jadi pemimpin generasi....,[],38,['Follback ya']
86,anesco19_,"Renungan
#MDC",['mdc'],24,[]
87,anesco19_,,[],38,[]
88,anesco19_,"X-ipa3 is the best
#mantap #kelasku 
#anakipa #bola","['mantap', 'kelasku', 'anakipa', 'bola']",33,[]
89,anesco19_,"Kenangan berapa tahun yang lalu
#MDC #anakTuhan","['mdc', 'anaktuhan']",26,"['Follback @buuloloyohanes', 'Okey']"
90,anesco19_,,[],36,[]
91,anesco19_,Teringat ini,[],20,[]
92,anesco19_,Keluarga Ku ,[],28,[]
93,anesco19_,,[],26,[]
94,anesco19_,Si bro and si sist,[],16,['Follback @buuloloyohanes']
95,marpaungjuan,"Dont cry because its over, smile because it happened -Dr Seuss",[],229,"['Iyaiyaiya yg skrng udh sbuk sma kuluah lpa sma kka*y @marpaungjuan', 'Aww canggih kali captionnya tulangg ini,, yaa gk bou ?? @ershsbn_', 'Kacamata kau ganti laa', 'Han Cok....', 'mau dong jaketnya']"
96,marpaungjuan,Marvel,[],174,"['Ehhhh kenapaa ini heiii', 'Aneh2 aja', 'Malas ah sama juju']"
97,marpaungjuan,Menatap liburan,[],200,"['Gajelas', 'cusss...come here']"
98,marpaungjuan,Boy Band,[],195,"['Mukanya mirip semua', 'WKWKKWWKKWK', 'Minus one..', 'LUCU JIPLAKAN SEMUAAAAA', 'Mirip semua yah ', 'vacation..', 'Hay ponakan* kka apa kbr kalian @marpaungjuan ', 'Juan kecil- juan junior- juan senior']"
99,marpaungjuan,"Monumen Selamat Datangadalah sebuah monumen yang terletak di tengah BundaranHotel Indonesia,Jakarta. Monumen ini berupa patung sepasang manusia yang sedang menggenggam bunga dan melambaikan tangan. Patung tersebut menghadap ke utara yang berarti mereka menyambut orang-orang yang datang dari arahMonumen Nasional. -Wikipedia

#explorejakarta 
#jakartaexplorer","['explorejakarta', 'jakartaexplorer']",147,"['Wah akhirnya bertambah wawasanku.. Terimaksih wikipedia.', '']"
100,marpaungjuan,Happy Easter,[],210,"['Kok kayak om ko ju', 'Jangan lupa slogan ju', 'jd tangcin udh berubah ya', 'Sndirian aja bwangg ', 'Hai juan', 'Kampus mana Ju?', 'Paskah ngampus juga ju?', 'Nih udah gua like', 'Keren kak, seru juga angle fotonya . Sukses ya.. salam kenal. ']"
